,tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,jpg_url,pic_conf,breed,retweet_count,favorite_count
0,891327558926688256,2017-07-29 16:00:24+00:00,twitter for iphone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",https://twitter.com/dog_rates/status/891327558926688256/photo/1,12.0,10,Franklin,,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,0.555712,basset,9774,41048
1,890971913173991426,2017-07-28 16:27:12+00:00,twitter for iphone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

 ",https://twitter.com/dog_rates/status/890971913173991426/photo/1,13.0,10,Jax,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,0.34170300000000003,Appenzeller,2158,12041
2,890729181411237888,2017-07-28 00:22:40+00:00,twitter for iphone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,https://twitter.com/dog_rates/status/890729181411237888/photo/1,13.0,10,,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,0.566142,Pomeranian,16716,56848
3,890006608113172480,2017-07-26 00:31:25+00:00,twitter for iphone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,https://twitter.com/dog_rates/status/890006608113172480/photo/1,13.0,10,Koda,,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,0.957979,Samoyed,7624,31166
4,889638837579907072,2017-07-25 00:10:02+00:00,twitter for iphone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,https://twitter.com/dog_rates/status/889638837579907072/photo/1,12.0,10,Ted,,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,0.99165,French_bulldog,4735,27672
5,888804989199671297,2017-07-22 16:56:37+00:00,twitter for iphone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,https://twitter.com/dog_rates/status/888804989199671297/photo/1,13.0,10,Zeke,,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,0.46976,golden_retriever,4559,26080
6,888554962724278272,2017-07-22 00:23:06+00:00,twitter for iphone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af ,https://twitter.com/dog_rates/status/888554962724278272/photo/1,13.0,10,Ralphus,,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,0.700377,Siberian_husky,3732,20290
7,888078434458587136,2017-07-20 16:49:33+00:00,twitter for iphone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway ,https://twitter.com/dog_rates/status/888078434458587136/photo/1,12.0,10,Gerald,,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,0.995026,French_bulldog,3653,22201
8,887473957103951883,2017-07-19 00:47:34+00:00,twitter for iphone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her ,https://twitter.com/dog_rates/status/887473957103951883/photo/1,13.0,10,Canela,,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,0.809197,Pembroke,18781,69871
9,886983233522544640,2017-07-17 16:17:36+00:00,twitter for iphone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in ,https://twitter.com/dog_rates/status/886983233522544640/photo/1,13.0,10,Maya,,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,0.793469,Chihuahua,8084,35859
10,886736880519319552,2017-07-16 23:58:41+00:00,twitter for iphone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

 ",https://twitter.com/dog_rates/status/886736880519319552/photo/1,13.0,10,Mingus,,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,0.309706,kuvasz,3443,12306
